head	tail	relations
MESH:D015306	NCBI:4128	
MESH:D014191	NCBI:4129	INHIBITOR
MESH:D014191	NCBI:4128	INHIBITOR
MESH:D012642	NCBI:4129	INHIBITOR
MESH:D012642	NCBI:4128	INHIBITOR
MESH:C422205	NCBI:4129	INHIBITOR
MESH:C422205	NCBI:4128	INHIBITOR
MESH:C524269	NCBI:4129	INHIBITOR
MESH:C524269	NCBI:4128	
MESH:C469293	NCBI:4129	
MESH:C469293	NCBI:4128	INHIBITOR
MESH:C107376	NCBI:4129	INHIBITOR
MESH:C107376	NCBI:4128	INHIBITOR
MESH:C064966	NCBI:898	
MESH:C064966	NCBI:7298	PRODUCT-OF
MESH:C064966	NCBI:1017	
MESH:C068874	NCBI:898	INHIBITOR|ACTIVATOR|INDIRECT-UPREGULATOR
MESH:C068874	NCBI:7298	INHIBITOR
MESH:C068874	NCBI:1017	INHIBITOR|ACTIVATOR|INDIRECT-UPREGULATOR
MESH:C068874	NCBI:7157	
MESH:C068874	NCBI:9338	
MESH:C068874	NCBI:1026	
MESH:C068874	NCBI:1027	INDIRECT-DOWNREGULATOR
MESH:C064966	NCBI:1027	
MESH:D004298	NCBI:1813	DIRECT-REGULATOR|ACTIVATOR
MESH:C045355	NCBI:1813	
MESH:D006220	NCBI:1813	INDIRECT-UPREGULATOR|ANTAGONIST
MESH:C025328	NCBI:1813	
MESH:D009243	NCBI:100996944	
MESH:D014451	NCBI:100996944	
MESH:D009243	NCBI:10907	
MESH:D014451	NCBI:10907	
MESH:D002976	NCBI:7124	INDIRECT-DOWNREGULATOR
MESH:D002976	NCBI:3569	INDIRECT-DOWNREGULATOR
MESH:D000728	NCBI:367	DIRECT-REGULATOR|ACTIVATOR|INDIRECT-UPREGULATOR|ANTAGONIST
MESH:D004961	NCBI:367	DIRECT-REGULATOR|INDIRECT-DOWNREGULATOR|INHIBITOR|ANTAGONIST
MESH:C089158	NCBI:367	ANTAGONIST
MESH:D015741	NCBI:367	
MESH:D014222	NCBI:367	
MESH:C012115	NCBI:367	
MESH:D004970	NCBI:367	
MESH:D004958	NCBI:367	
MESH:C053541	NCBI:367	DIRECT-REGULATOR|INDIRECT-DOWNREGULATOR|INHIBITOR|ANTAGONIST
MESH:C014290	NCBI:367	DIRECT-REGULATOR|AGONIST|INHIBITOR|ANTAGONIST
MESH:D004961	NCBI:354	INDIRECT-DOWNREGULATOR
MESH:D004961	NCBI:5324	INDIRECT-DOWNREGULATOR|INHIBITOR
MESH:C053541	NCBI:354	INDIRECT-DOWNREGULATOR
MESH:C053541	NCBI:5324	INDIRECT-DOWNREGULATOR
MESH:D000728	NCBI:354	
MESH:D000728	NCBI:5324	INDIRECT-UPREGULATOR
MESH:C014290	NCBI:5324	INDIRECT-UPREGULATOR
MESH:D000804	NCBI:185	
MESH:C039428	NCBI:185	
MESH:D000809	NCBI:185	
MESH:D000809	NCBI:5972	
MESH:D000809	NCBI:183	
MESH:D000809	NCBI:285	
MESH:C000605451	NCBI:5972	
MESH:C000605451	NCBI:183	
MESH:C000605451	NCBI:285	
MESH:D000068756	NCBI:285	INDIRECT-DOWNREGULATOR
MESH:D000077405	NCBI:285	INDIRECT-DOWNREGULATOR|INDIRECT-UPREGULATOR
MESH:C070630	NCBI:2940	DIRECT-REGULATOR
MESH:C070630	NCBI:221357	DIRECT-REGULATOR
MESH:C070630	NCBI:2938	
MESH:D005978	NCBI:2940	
MESH:D005978	NCBI:221357	
MESH:D005978	NCBI:2938	
MESH:D004491	NCBI:43	INHIBITOR
MESH:D004491	NCBI:10493	INHIBITOR
MESH:D012701	NCBI:3351	
MESH:D012701	NCBI:3352	
MESH:C115647	NCBI:3351	DIRECT-REGULATOR
MESH:C115647	NCBI:3352	DIRECT-REGULATOR
MESH:C115647	NCBI:3355	DIRECT-REGULATOR
MESH:D018170	NCBI:3351	DIRECT-REGULATOR
MESH:D018170	NCBI:3352	DIRECT-REGULATOR
MESH:D018170	NCBI:3355	DIRECT-REGULATOR
MESH:C089750	NCBI:3351	DIRECT-REGULATOR|ACTIVATOR
MESH:C089750	NCBI:3352	DIRECT-REGULATOR
MESH:C089750	NCBI:3355	DIRECT-REGULATOR
MESH:C106783	NCBI:3351	DIRECT-REGULATOR
MESH:C106783	NCBI:3352	DIRECT-REGULATOR
MESH:C106783	NCBI:3355	DIRECT-REGULATOR
MESH:C093622	NCBI:3351	DIRECT-REGULATOR
MESH:C093622	NCBI:3352	DIRECT-REGULATOR|AGONIST
MESH:C093622	NCBI:3355	DIRECT-REGULATOR
MESH:D014150	NCBI:6532	DIRECT-REGULATOR
MESH:D014150	NCBI:6530	
MESH:D012701	NCBI:6532	INHIBITOR|SUBSTRATE
MESH:D012701	NCBI:6530	SUBSTRATE
MESH:D014273	NCBI:6532	DIRECT-REGULATOR
MESH:D014273	NCBI:6530	
MESH:C041528	NCBI:6532	DIRECT-REGULATOR
MESH:C041528	NCBI:6530	
MESH:D002746	NCBI:6532	DIRECT-REGULATOR
MESH:D002746	NCBI:6530	DIRECT-REGULATOR
MESH:C092292	NCBI:6532	DIRECT-REGULATOR
MESH:C092292	NCBI:6530	
MESH:D009638	NCBI:6532	
MESH:D009638	NCBI:6530	ACTIVATOR|SUBSTRATE
MESH:C022172	NCBI:6532	
MESH:C022172	NCBI:6530	DIRECT-REGULATOR
MESH:D002749	NCBI:6532	
MESH:D002749	NCBI:6530	DIRECT-REGULATOR
MESH:D011395	NCBI:6532	
MESH:D011395	NCBI:6530	DIRECT-REGULATOR
MESH:D004298	NCBI:6531	SUBSTRATE
MESH:D010868	NCBI:6531	DIRECT-REGULATOR
MESH:C092292	NCBI:6531	DIRECT-REGULATOR
MESH:C030371	NCBI:4524	PRODUCT-OF
MESH:D006710	NCBI:4524	SUBSTRATE
MESH:D000596	NCBI:4694	PART-OF
MESH:C061419	NCBI:4694	
MESH:D012402	NCBI:4694	
MESH:C013905	NCBI:4843	INHIBITOR
MESH:C097240	NCBI:4843	
MESH:D009569	NCBI:4843	PRODUCT-OF|INDIRECT-DOWNREGULATOR
MESH:D009569	NCBI:3553	
MESH:D015232	NCBI:4843	INHIBITOR
MESH:C477819	NCBI:4843	INDIRECT-DOWNREGULATOR|INHIBITOR
MESH:D000077288	NCBI:5468	DIRECT-REGULATOR|AGONIST|ACTIVATOR|INDIRECT-UPREGULATOR
MESH:D000077288	NCBI:4843	
MESH:C477819	NCBI:5468	
MESH:C006821	NCBI:7534	ACTIVATOR
MESH:C006821	NCBI:3558	INDIRECT-DOWNREGULATOR
MESH:C081565	NCBI:7534	INHIBITOR
MESH:C081565	NCBI:3558	INDIRECT-DOWNREGULATOR
MESH:C006821	NCBI:5320	INHIBITOR
MESH:C408472	NCBI:5320	INHIBITOR
MESH:C408472	NCBI:3558	INDIRECT-DOWNREGULATOR
MESH:C081565	NCBI:5320	INHIBITOR
MESH:C016658	NCBI:3558	
MESH:D003540	NCBI:875	
MESH:D003540	NCBI:4524	
MESH:D003540	NCBI:4548	
MESH:C030371	NCBI:875	
MESH:C030371	NCBI:4548	PRODUCT-OF
MESH:D008715	NCBI:875	
MESH:D008715	NCBI:4524	
MESH:D008715	NCBI:4548	PRODUCT-OF
MESH:D013759	NCBI:4548	
MESH:C122128	NCBI:1282	
MESH:C122128	NCBI:43	INHIBITOR
MESH:C122128	NCBI:590	INHIBITOR
MESH:D013619	NCBI:43	INHIBITOR
MESH:D013619	NCBI:590	INHIBITOR
MESH:D000728	NCBI:2252	
MESH:D000728	NCBI:2255	
MESH:D012965	NCBI:2255	
MESH:D012965	NCBI:2252	
MESH:D013431	NCBI:2255	
MESH:D013431	NCBI:2252	
MESH:D013431	NCBI:2263	
MESH:D013431	NCBI:53834	
MESH:D002065	NCBI:3350	AGONIST
MESH:D017371	NCBI:3350	DIRECT-REGULATOR|AGONIST
MESH:C087168	NCBI:3350	INHIBITOR|ANTAGONIST
MESH:C090413	NCBI:3350	ANTAGONIST
MESH:D011453	NCBI:5743	PRODUCT-OF
MESH:C119130	NCBI:5743	INHIBITOR
MESH:D011453	NCBI:5742	PRODUCT-OF
MESH:C119130	NCBI:5742	
MESH:D020910	NCBI:5742	INHIBITOR
MESH:D020910	NCBI:5743	INHIBITOR
MESH:D000596	NCBI:9376	PART-OF
MESH:D000596	NCBI:3777	PART-OF
MESH:D000596	NCBI:10864	PART-OF
MESH:D000596	NCBI:6580	PART-OF
MESH:D010130	NCBI:9376	INHIBITOR|SUBSTRATE
MESH:C025589	NCBI:9376	SUBSTRATE
MESH:C017296	NCBI:9376	SUBSTRATE
MESH:D002927	NCBI:9376	SUBSTRATE
MESH:D012964	NCBI:9376	
MESH:D013448	NCBI:9376	INHIBITOR
MESH:D011339	NCBI:9376	INHIBITOR
MESH:D007208	NCBI:9376	INHIBITOR
MESH:D002034	NCBI:9376	SUBSTRATE|INHIBITOR
MESH:D010894	NCBI:9376	INHIBITOR
MESH:D005665	NCBI:9376	SUBSTRATE|INHIBITOR
MESH:D013936	NCBI:9376	INHIBITOR
MESH:D017878	NCBI:9376	INHIBITOR
MESH:D010400	NCBI:9376	INHIBITOR
MESH:D010042	NCBI:9376	
MESH:D004077	NCBI:9376	
MESH:D019789	NCBI:9376	
MESH:D019791	NCBI:9376	
MESH:D014700	NCBI:9376	
MESH:D011802	NCBI:9376	
MESH:D004298	NCBI:9376	INHIBITOR
MESH:D004837	NCBI:9376	INHIBITOR
MESH:D009638	NCBI:9376	INHIBITOR
MESH:D012701	NCBI:9376	INHIBITOR
MESH:D004205	NCBI:154	
MESH:D013726	NCBI:154	AGONIST|ACTIVATOR
MESH:D007665	NCBI:154	
MESH:D007545	NCBI:154	DIRECT-REGULATOR|AGONIST|INDIRECT-UPREGULATOR
MESH:D007545	NCBI:153	DIRECT-REGULATOR|AGONIST|ACTIVATOR
MESH:D004205	NCBI:153	
MESH:D013726	NCBI:153	
MESH:D006221	NCBI:7534	
MESH:D006221	NCBI:5320	ACTIVATOR
MESH:C096875	NCBI:5320	
MESH:C021026	NCBI:5320	SUBSTRATE
MESH:D012436	NCBI:5320	
MESH:C019012	NCBI:5320	
MESH:D005227	NCBI:5320	PRODUCT-OF
MESH:D011796	NCBI:5320	INHIBITOR
MESH:D004298	NCBI:5320	
MESH:D000109	NCBI:5320	
MESH:D005557	NCBI:3481	
MESH:D005557	NCBI:3480	
MESH:D005557	NCBI:1509	
MESH:D005557	NCBI:4288	
MESH:D018491|D004298	NCBI:6531	SUBSTRATE
MESH:D018491|D004298	NCBI:6532	
MESH:D018491|D004298	NCBI:4128	SUBSTRATE
MESH:D018491|D004298	NCBI:6530	
MESH:D012701	NCBI:6531	
MESH:D012701	NCBI:4128	SUBSTRATE
MESH:C488396	NCBI:6531	
MESH:C488396	NCBI:6532	
MESH:C488396	NCBI:4128	
MESH:C488396	NCBI:6530	SUBSTRATE
MESH:D010645	NCBI:4128	INHIBITOR
MESH:D010645	NCBI:4129	
MESH:D012701	NCBI:4129	
MESH:D000661	NCBI:4129	INHIBITOR
MESH:D000661	NCBI:4128	INHIBITOR
MESH:C080985	NCBI:4313	INHIBITOR
MESH:C055603	NCBI:4313	DIRECT-REGULATOR|INDIRECT-DOWNREGULATOR|INHIBITOR
MESH:D000809	NCBI:1636	
MESH:C055603	NCBI:1636	INHIBITOR
MESH:C080985	NCBI:1636	
MESH:D001647	NCBI:9971	DIRECT-REGULATOR|ACTIVATOR
MESH:D002784	NCBI:9971	
MESH:D002784	NCBI:1581	
MESH:D002784	NCBI:2172	
MESH:D001647	NCBI:1581	PRODUCT-OF
MESH:D001647	NCBI:2172	
MESH:D000077239	NCBI:5743	INHIBITOR
MESH:D000077239	NCBI:5742	INHIBITOR
MESH:D013929	NCBI:5742	PRODUCT-OF|SUBSTRATE
MESH:C046308	NCBI:5742	
MESH:D004008	NCBI:5742	INHIBITOR
MESH:D017997	NCBI:5321	
